category	sample	sum_abund
Beta-lactam	bgi-DOF004	1.79e-07
Phenicol	bgi-DOF004	1.44e-08
Lincosamide	bgi-DOF004	1.37e-07
Pleuromutilin	bgi-DOF004	8.60e-11
Glycopeptide	bgi-DOF004	1.94e-10
Coumarin	bgi-DOF004	5.82e-09
Rifampin	bgi-DOF004	1.34e-07
Sulfonamides	bgi-DOF004	1.66e-08
Fluoroquinolones	bgi-DOF004	2.29e-07
Metals	bgi-DOF004	5.17e-06
Biocides	bgi-DOF004	2.35e-06
Fluoroquinolone	bgi-DOF006	4.23e-08
Aminoglycoside	bgi-DOF006	2.53e-08
Lipopeptide	bgi-DOF006	2.50e-08
Peptide	bgi-DOF006	4.71e-09
Tetracycline derivative	bgi-DOF006	2.11e-07
Streptogramin	bgi-DOF006	1.66e-07
Macrolide	bgi-DOF006	1.86e-07
Sulfonamide	bgi-DOF006	2.88e-09
Aminocoumarin	bgi-DOF006	1.71e-08
Rifamycin	bgi-DOF006	6.09e-09
Diaminopyrimidine	bgi-DOF006	9.76e-09
Beta-lactam	bgi-DOF006	2.11e-07
Phenicol	bgi-DOF006	6.68e-09
Lincosamide	bgi-DOF006	1.65e-07
Glycopeptide	bgi-DOF006	7.39e-11
Coumarin	bgi-DOF006	2.50e-08
Rifampin	bgi-DOF006	1.94e-07
Sulfonamides	bgi-DOF006	6.85e-10
Fluoroquinolones	bgi-DOF006	4.26e-07
Metals	bgi-DOF006	4.69e-06
Biocides	bgi-DOF006	2.33e-06
Fluoroquinolone	bgi-DOF007	3.71e-08
Aminoglycoside	bgi-DOF007	2.23e-08
Lipopeptide	bgi-DOF007	2.65e-08
Peptide	bgi-DOF007	3.65e-09
Tetracycline derivative	bgi-DOF007	1.95e-07
Streptogramin	bgi-DOF007	6.47e-08
Macrolide	bgi-DOF007	8.46e-08
Sulfonamide	bgi-DOF007	4.40e-09
Aminocoumarin	bgi-DOF007	1.40e-08
Rifamycin	bgi-DOF007	5.44e-09
Diaminopyrimidine	bgi-DOF007	1.25e-08
Nucleoside	bgi-DOF007	5.16e-11
Beta-lactam	bgi-DOF007	4.18e-08
Phenicol	bgi-DOF007	9.79e-09
Lincosamide	bgi-DOF007	7.80e-08
Coumarin	bgi-DOF007	1.61e-08
Rifampin	bgi-DOF007	1.45e-07
Fluoroquinolones	bgi-DOF007	2.89e-07
Metals	bgi-DOF007	1.77e-06
Biocides	bgi-DOF007	1.22e-06
Fluoroquinolone	bgi-DOF008	1.02e-08
Aminoglycoside	bgi-DOF008	8.20e-08
Lipopeptide	bgi-DOF008	2.57e-09
Peptide	bgi-DOF008	8.77e-10
Tetracycline derivative	bgi-DOF008	3.40e-07
Streptogramin	bgi-DOF008	2.43e-07
Macrolide	bgi-DOF008	2.44e-07
Sulfonamide	bgi-DOF008	1.47e-09
Aminocoumarin	bgi-DOF008	2.01e-09
Rifamycin	bgi-DOF008	7.25e-09
Diaminopyrimidine	bgi-DOF008	1.50e-08
Nucleoside	bgi-DOF008	1.26e-10
Beta-lactam	bgi-DOF008	2.13e-08
Phenicol	bgi-DOF008	7.57e-09
Lincosamide	bgi-DOF008	2.80e-07
Coumarin	bgi-DOF008	5.44e-08
Rifampin	bgi-DOF008	1.62e-07
Sulfonamides	bgi-DOF008	4.72e-09
Fluoroquinolones	bgi-DOF008	2.84e-07
Metals	bgi-DOF008	6.26e-06
Biocides	bgi-DOF008	1.85e-06
Fluoroquinolone	bgi-DOF009	1.54e-08
Aminoglycoside	bgi-DOF009	3.00e-08
Lipopeptide	bgi-DOF009	1.14e-08
Peptide	bgi-DOF009	2.17e-09
Tetracycline derivative	bgi-DOF009	1.84e-07
Streptogramin	bgi-DOF009	6.22e-08
Macrolide	bgi-DOF009	6.96e-08
Sulfonamide	bgi-DOF009	1.56e-08
Aminocoumarin	bgi-DOF009	7.07e-09
Rifamycin	bgi-DOF009	2.66e-09
Diaminopyrimidine	bgi-DOF009	7.35e-09
Beta-lactam	bgi-DOF009	2.38e-08
Phenicol	bgi-DOF009	4.90e-09
Lincosamide	bgi-DOF009	6.23e-08
Glycopeptide	bgi-DOF009	2.51e-08
Coumarin	bgi-DOF009	2.63e-08
Rifampin	bgi-DOF009	1.92e-07
Sulfonamides	bgi-DOF009	1.24e-08
Fluoroquinolones	bgi-DOF009	2.85e-07
Metals	bgi-DOF009	1.71e-06
Biocides	bgi-DOF009	7.67e-07
Fluoroquinolone	bgi-DOF010	1.20e-07
Aminoglycoside	bgi-DOF010	7.39e-08
Lipopeptide	bgi-DOF010	9.80e-08
Peptide	bgi-DOF010	1.48e-08
Tetracycline derivative	bgi-DOF010	3.19e-07
Streptogramin	bgi-DOF010	2.41e-07
Macrolide	bgi-DOF010	2.93e-07
Sulfonamide	bgi-DOF010	3.60e-08
Aminocoumarin	bgi-DOF010	5.26e-08
Rifamycin	bgi-DOF010	1.80e-08
Diaminopyrimidine	bgi-DOF010	2.74e-08
Nucleoside	bgi-DOF010	1.02e-09
Beta-lactam	bgi-DOF010	1.62e-07
Phenicol	bgi-DOF010	4.12e-08
Lincosamide	bgi-DOF010	2.68e-07
Coumarin	bgi-DOF010	2.96e-08
Rifampin	bgi-DOF010	8.78e-08
Sulfonamides	bgi-DOF010	1.96e-09
Fluoroquinolones	bgi-DOF010	1.59e-07
Metals	bgi-DOF010	4.38e-06
Biocides	bgi-DOF010	3.46e-06
Fluoroquinolone	bgi-DOF011	7.81e-10
Aminoglycoside	bgi-DOF011	3.07e-09
Lipopeptide	bgi-DOF011	8.06e-10
Peptide	bgi-DOF011	1.95e-10
Tetracycline derivative	bgi-DOF011	8.46e-08
Streptogramin	bgi-DOF011	1.97e-07
Macrolide	bgi-DOF011	1.98e-07
Sulfonamide	bgi-DOF011	4.41e-10
Aminocoumarin	bgi-DOF011	4.77e-10
Rifamycin	bgi-DOF011	2.12e-10
Diaminopyrimidine	bgi-DOF011	3.80e-09
Beta-lactam	bgi-DOF011	1.52e-07
Phenicol	bgi-DOF011	2.94e-10
Lincosamide	bgi-DOF011	2.21e-07
Coumarin	bgi-DOF011	7.06e-09
Rifampin	bgi-DOF011	1.50e-07
Sulfonamides	bgi-DOF011	2.93e-08
Fluoroquinolones	bgi-DOF011	2.29e-07
Metals	bgi-DOF011	1.02e-06
Biocides	bgi-DOF011	2.37e-07
Fluoroquinolone	bgi-DOF012	1.07e-07
Aminoglycoside	bgi-DOF012	7.16e-08
Lipopeptide	bgi-DOF012	7.11e-08
Peptide	bgi-DOF012	1.20e-08
Tetracycline derivative	bgi-DOF012	2.60e-07
Streptogramin	bgi-DOF012	6.01e-07
Macrolide	bgi-DOF012	6.55e-07
Sulfonamide	bgi-DOF012	1.62e-08
Aminocoumarin	bgi-DOF012	4.46e-08
Rifamycin	bgi-DOF012	1.52e-08
Diaminopyrimidine	bgi-DOF012	8.74e-08
Beta-lactam	bgi-DOF012	1.52e-07
Phenicol	bgi-DOF012	1.93e-08
Lincosamide	bgi-DOF012	6.39e-07
Glycopeptide	bgi-DOF012	4.57e-10
Coumarin	bgi-DOF012	2.06e-07
Rifampin	bgi-DOF012	2.49e-07
Sulfonamides	bgi-DOF012	1.68e-09
Fluoroquinolones	bgi-DOF012	5.43e-07
Metals	bgi-DOF012	3.17e-06
Biocides	bgi-DOF012	2.10e-06
Fluoroquinolone	bgi-DOF013	3.91e-09
Aminoglycoside	bgi-DOF013	2.44e-08
Lipopeptide	bgi-DOF013	2.88e-09
Peptide	bgi-DOF013	5.39e-10
Tetracycline derivative	bgi-DOF013	2.19e-07
Streptogramin	bgi-DOF013	7.45e-08
Macrolide	bgi-DOF013	7.67e-08
Sulfonamide	bgi-DOF013	3.08e-10
Aminocoumarin	bgi-DOF013	1.78e-09
Rifamycin	bgi-DOF013	5.60e-10
Diaminopyrimidine	bgi-DOF013	9.63e-09
Nucleoside	bgi-DOF013	1.29e-08
Beta-lactam	bgi-DOF013	9.21e-08
Phenicol	bgi-DOF013	1.33e-09
Lincosamide	bgi-DOF013	1.52e-07
Coumarin	bgi-DOF013	6.05e-08
Rifampin	bgi-DOF013	2.02e-07
Sulfonamides	bgi-DOF013	2.85e-09
Fluoroquinolones	bgi-DOF013	4.05e-07
Metals	bgi-DOF013	9.00e-07
Biocides	bgi-DOF013	3.51e-07
Fluoroquinolone	bgi-DOF014	1.04e-09
Aminoglycoside	bgi-DOF014	4.11e-08
Lipopeptide	bgi-DOF014	8.50e-10
Peptide	bgi-DOF014	8.63e-11
Tetracycline derivative	bgi-DOF014	2.94e-07
Streptogramin	bgi-DOF014	1.94e-07
Macrolide	bgi-DOF014	1.95e-07
Sulfonamide	bgi-DOF014	4.81e-10
Aminocoumarin	bgi-DOF014	3.65e-10
Rifamycin	bgi-DOF014	1.42e-10
Diaminopyrimidine	bgi-DOF014	4.15e-09
Nucleoside	bgi-DOF014	2.61e-10
Beta-lactam	bgi-DOF014	9.26e-08
Phenicol	bgi-DOF014	2.19e-09
Lincosamide	bgi-DOF014	1.95e-07
Glycopeptide	bgi-DOF014	9.06e-10
Coumarin	bgi-DOF014	1.73e-08
Rifampin	bgi-DOF014	1.53e-07
Sulfonamides	bgi-DOF014	5.11e-08
Fluoroquinolones	bgi-DOF014	2.79e-07
Metals	bgi-DOF014	1.04e-06
Biocides	bgi-DOF014	4.11e-07
Fluoroquinolone	bgi-DOM001	2.28e-08
Aminoglycoside	bgi-DOM001	3.37e-08
Lipopeptide	bgi-DOM001	1.67e-08
Peptide	bgi-DOM001	2.80e-09
Tetracycline derivative	bgi-DOM001	3.93e-07
Streptogramin	bgi-DOM001	1.66e-07
Macrolide	bgi-DOM001	1.79e-07
Sulfonamide	bgi-DOM001	9.65e-09
Aminocoumarin	bgi-DOM001	9.84e-09
Rifamycin	bgi-DOM001	3.54e-09
Diaminopyrimidine	bgi-DOM001	7.97e-09
Nucleoside	bgi-DOM001	6.08e-09
Beta-lactam	bgi-DOM001	9.37e-08
Phenicol	bgi-DOM001	2.85e-08
Lincosamide	bgi-DOM001	1.73e-07
Glycopeptide	bgi-DOM001	1.47e-10
Coumarin	bgi-DOM001	6.63e-09
Rifampin	bgi-DOM001	1.51e-07
Sulfonamides	bgi-DOM001	3.91e-08
Fluoroquinolones	bgi-DOM001	2.37e-07
Metals	bgi-DOM001	3.92e-06
Biocides	bgi-DOM001	1.62e-06
Fluoroquinolone	bgi-DOM003	3.02e-07
Aminoglycoside	bgi-DOM003	4.48e-08
Lipopeptide	bgi-DOM003	2.00e-07
Peptide	bgi-DOM003	3.78e-08
Tetracycline derivative	bgi-DOM003	3.28e-07
Streptogramin	bgi-DOM003	1.50e-07
Macrolide	bgi-DOM003	2.72e-07
Sulfonamide	bgi-DOM003	1.69e-09
Aminocoumarin	bgi-DOM003	1.27e-07
Rifamycin	bgi-DOM003	4.59e-08
Diaminopyrimidine	bgi-DOM003	1.10e-08
Nucleoside	bgi-DOM003	5.78e-11
Beta-lactam	bgi-DOM003	4.47e-07
Phenicol	bgi-DOM003	4.82e-08
Lincosamide	bgi-DOM003	2.24e-07
Coumarin	bgi-DOM003	1.30e-07
Rifampin	bgi-DOM003	1.86e-07
Sulfonamides	bgi-DOM003	6.14e-09
Fluoroquinolones	bgi-DOM003	2.71e-07
Metals	bgi-DOM003	1.18e-05
Biocides	bgi-DOM003	7.03e-06
Fluoroquinolone	bgi-DOM005	2.00e-08
Aminoglycoside	bgi-DOM005	3.83e-09
Lipopeptide	bgi-DOM005	7.70e-09
Peptide	bgi-DOM005	2.04e-09
Tetracycline derivative	bgi-DOM005	1.25e-07
Streptogramin	bgi-DOM005	1.41e-08
Macrolide	bgi-DOM005	1.95e-08
Sulfonamide	bgi-DOM005	3.16e-10
Aminocoumarin	bgi-DOM005	6.14e-09
Rifamycin	bgi-DOM005	9.48e-09
Diaminopyrimidine	bgi-DOM005	9.65e-09
Beta-lactam	bgi-DOM005	5.81e-08
Phenicol	bgi-DOM005	1.06e-08
Lincosamide	bgi-DOM005	3.13e-08
Coumarin	bgi-DOM005	5.85e-08
Rifampin	bgi-DOM005	1.54e-07
Sulfonamides	bgi-DOM005	2.26e-09
Fluoroquinolones	bgi-DOM005	2.94e-07
Metals	bgi-DOM005	2.79e-06
Biocides	bgi-DOM005	1.99e-06
Fluoroquinolone	bgi-DOM008	4.76e-08
Aminoglycoside	bgi-DOM008	3.42e-08
Lipopeptide	bgi-DOM008	2.96e-08
Peptide	bgi-DOM008	5.03e-09
Tetracycline derivative	bgi-DOM008	2.80e-07
Streptogramin	bgi-DOM008	2.04e-07
Macrolide	bgi-DOM008	2.25e-07
Sulfonamide	bgi-DOM008	5.73e-08
Aminocoumarin	bgi-DOM008	2.04e-08
Rifamycin	bgi-DOM008	7.22e-09
Diaminopyrimidine	bgi-DOM008	1.37e-09
Beta-lactam	bgi-DOM008	1.61e-07
Phenicol	bgi-DOM008	9.55e-09
Lincosamide	bgi-DOM008	2.05e-07
Glycopeptide	bgi-DOM008	8.52e-09
Coumarin	bgi-DOM008	3.19e-09
Rifampin	bgi-DOM008	1.60e-07
Sulfonamides	bgi-DOM008	4.86e-09
Fluoroquinolones	bgi-DOM008	3.25e-07
Metals	bgi-DOM008	4.46e-06
Biocides	bgi-DOM008	2.29e-06
Fluoroquinolone	bgi-DOM010	2.58e-09
Aminoglycoside	bgi-DOM010	2.11e-08
Lipopeptide	bgi-DOM010	1.67e-09
Peptide	bgi-DOM010	2.20e-10
Tetracycline derivative	bgi-DOM010	2.15e-07
Streptogramin	bgi-DOM010	1.48e-07
Macrolide	bgi-DOM010	1.63e-07
Sulfonamide	bgi-DOM010	1.03e-09
Aminocoumarin	bgi-DOM010	1.28e-09
Rifamycin	bgi-DOM010	3.65e-10
Diaminopyrimidine	bgi-DOM010	1.41e-09
Nucleoside	bgi-DOM010	1.14e-09
Beta-lactam	bgi-DOM010	5.78e-08
Phenicol	bgi-DOM010	1.05e-09
Lincosamide	bgi-DOM010	2.08e-07
Coumarin	bgi-DOM010	4.85e-08
Rifampin	bgi-DOM010	1.79e-07
Sulfonamides	bgi-DOM010	3.08e-08
Fluoroquinolones	bgi-DOM010	3.52e-07
Metals	bgi-DOM010	3.79e-06
Biocides	bgi-DOM010	1.47e-06
Fluoroquinolone	bgi-DOM012	2.66e-08
Aminoglycoside	bgi-DOM012	1.06e-07
Lipopeptide	bgi-DOM012	2.08e-08
Peptide	bgi-DOM012	3.90e-09
Tetracycline derivative	bgi-DOM012	3.08e-07
Streptogramin	bgi-DOM012	2.33e-07
Macrolide	bgi-DOM012	2.43e-07
Sulfonamide	bgi-DOM012	1.10e-08
Aminocoumarin	bgi-DOM012	1.07e-08
Rifamycin	bgi-DOM012	3.71e-09
Diaminopyrimidine	bgi-DOM012	5.64e-09
Nucleoside	bgi-DOM012	2.12e-08
Beta-lactam	bgi-DOM012	6.87e-08
Phenicol	bgi-DOM012	7.62e-09
Lincosamide	bgi-DOM012	3.81e-07
Glycopeptide	bgi-DOM012	2.23e-10
Coumarin	bgi-DOM012	1.81e-08
Rifampin	bgi-DOM012	9.49e-08
Sulfonamides	bgi-DOM012	3.58e-09
Fluoroquinolones	bgi-DOM012	1.26e-07
Metals	bgi-DOM012	2.00e-06
Biocides	bgi-DOM012	1.16e-06
Fluoroquinolone	bgi-DOM013	4.85e-09
Aminoglycoside	bgi-DOM013	1.45e-08
Lipopeptide	bgi-DOM013	3.73e-09
Peptide	bgi-DOM013	3.18e-10
Tetracycline derivative	bgi-DOM013	3.05e-07
Streptogramin	bgi-DOM013	1.79e-07
Macrolide	bgi-DOM013	1.81e-07
Sulfonamide	bgi-DOM013	6.20e-10
Aminocoumarin	bgi-DOM013	1.35e-09
Rifamycin	bgi-DOM013	5.47e-10
Diaminopyrimidine	bgi-DOM013	3.23e-09
Nucleoside	bgi-DOM013	3.06e-10
Beta-lactam	bgi-DOM013	4.40e-08
Phenicol	bgi-DOM013	1.76e-09
Lincosamide	bgi-DOM013	2.06e-07
Glycopeptide	bgi-DOM013	2.76e-10
Coumarin	bgi-DOM013	7.70e-09
Rifampin	bgi-DOM013	1.22e-07
Sulfonamides	bgi-DOM013	3.56e-08
Fluoroquinolones	bgi-DOM013	1.87e-07
Metals	bgi-DOM013	3.32e-06
Biocides	bgi-DOM013	1.01e-06
Fluoroquinolone	bgi-DOM014	6.94e-10
Aminoglycoside	bgi-DOM014	9.85e-09
Lipopeptide	bgi-DOM014	2.99e-10
Tetracycline derivative	bgi-DOM014	3.04e-07
Streptogramin	bgi-DOM014	1.77e-07
Macrolide	bgi-DOM014	1.77e-07
Sulfonamide	bgi-DOM014	1.31e-08
Aminocoumarin	bgi-DOM014	4.27e-10
Rifamycin	bgi-DOM014	1.91e-10
Diaminopyrimidine	bgi-DOM014	9.46e-09
Nucleoside	bgi-DOM014	1.36e-09
Beta-lactam	bgi-DOM014	2.85e-08
Phenicol	bgi-DOM014	2.50e-09
Lincosamide	bgi-DOM014	1.78e-07
Glycopeptide	bgi-DOM014	3.62e-08
Coumarin	bgi-DOM014	2.49e-08
Rifampin	bgi-DOM014	9.50e-08
Sulfonamides	bgi-DOM014	1.41e-08
Fluoroquinolones	bgi-DOM014	1.95e-07
Metals	bgi-DOM014	7.15e-07
Biocides	bgi-DOM014	2.61e-07
Fluoroquinolone	bgi-DOM015	6.08e-09
Aminoglycoside	bgi-DOM015	1.78e-08
Lipopeptide	bgi-DOM015	3.17e-09
Peptide	bgi-DOM015	4.25e-10
Tetracycline derivative	bgi-DOM015	3.72e-07
Streptogramin	bgi-DOM015	1.86e-07
Macrolide	bgi-DOM015	1.89e-07
Sulfonamide	bgi-DOM015	1.57e-08
Aminocoumarin	bgi-DOM015	2.41e-09
Rifamycin	bgi-DOM015	1.12e-09
Diaminopyrimidine	bgi-DOM015	3.75e-08
Beta-lactam	bgi-DOM015	6.70e-08
Phenicol	bgi-DOM015	3.23e-09
Lincosamide	bgi-DOM015	1.86e-07
Coumarin	bgi-DOM015	3.92e-08
Rifampin	bgi-DOM015	1.47e-07
Sulfonamides	bgi-DOM015	4.19e-08
Fluoroquinolones	bgi-DOM015	3.04e-07
Metals	bgi-DOM015	3.90e-06
Biocides	bgi-DOM015	1.28e-06
Fluoroquinolone	bgi-DOM016	4.16e-08
Aminoglycoside	bgi-DOM016	3.05e-08
Lipopeptide	bgi-DOM016	2.64e-08
Peptide	bgi-DOM016	4.83e-09
Tetracycline derivative	bgi-DOM016	3.88e-07
Streptogramin	bgi-DOM016	2.87e-07
Macrolide	bgi-DOM016	3.06e-07
Sulfonamide	bgi-DOM016	2.22e-08
Aminocoumarin	bgi-DOM016	1.72e-08
Rifamycin	bgi-DOM016	5.56e-09
Diaminopyrimidine	bgi-DOM016	7.55e-09
Oxazolidinone	bgi-DOM016	8.65e-11
Nucleoside	bgi-DOM016	5.57e-10
Beta-lactam	bgi-DOM016	1.60e-07
Phenicol	bgi-DOM016	6.35e-09
Lincosamide	bgi-DOM016	3.52e-07
Pleuromutilin	bgi-DOM016	8.65e-11
Glycopeptide	bgi-DOM016	1.50e-10
Coumarin	bgi-DOM016	7.70e-09
Rifampin	bgi-DOM016	1.80e-07
Sulfonamides	bgi-DOM016	7.19e-09
Fluoroquinolones	bgi-DOM016	3.31e-07
Metals	bgi-DOM016	4.89e-06
Biocides	bgi-DOM016	2.17e-06
Fluoroquinolone	bgi-DOM017	4.55e-10
Aminoglycoside	bgi-DOM017	3.41e-08
Lipopeptide	bgi-DOM017	3.11e-10
Peptide	bgi-DOM017	3.64e-11
Tetracycline derivative	bgi-DOM017	3.38e-07
Streptogramin	bgi-DOM017	1.12e-07
Macrolide	bgi-DOM017	1.19e-07
Sulfonamide	bgi-DOM017	3.16e-08
Aminocoumarin	bgi-DOM017	2.35e-10
Rifamycin	bgi-DOM017	9.95e-11
Diaminopyrimidine	bgi-DOM017	7.99e-09
Nucleoside	bgi-DOM017	1.10e-10
Beta-lactam	bgi-DOM017	8.64e-08
Phenicol	bgi-DOM017	2.22e-09
Lincosamide	bgi-DOM017	1.03e-07
Coumarin	bgi-DOM017	4.47e-08
Rifampin	bgi-DOM017	1.86e-07
Sulfonamides	bgi-DOM017	1.72e-09
Fluoroquinolones	bgi-DOM017	3.87e-07
Metals	bgi-DOM017	7.60e-07
Biocides	bgi-DOM017	2.91e-07
Fluoroquinolone	bgi-DOM018	3.39e-09
Aminoglycoside	bgi-DOM018	1.48e-08
Lipopeptide	bgi-DOM018	1.84e-09
Peptide	bgi-DOM018	4.23e-10
Tetracycline derivative	bgi-DOM018	2.17e-07
Streptogramin	bgi-DOM018	6.61e-08
Macrolide	bgi-DOM018	6.75e-08
Sulfonamide	bgi-DOM018	3.72e-09
Aminocoumarin	bgi-DOM018	1.22e-09
Rifamycin	bgi-DOM018	4.58e-10
Diaminopyrimidine	bgi-DOM018	8.32e-10
Nucleoside	bgi-DOM018	1.16e-10
Beta-lactam	bgi-DOM018	1.11e-08
Phenicol	bgi-DOM018	7.65e-10
Lincosamide	bgi-DOM018	6.64e-08
Coumarin	bgi-DOM018	2.24e-08
Rifampin	bgi-DOM018	1.83e-07
Sulfonamides	bgi-DOM018	9.14e-08
Fluoroquinolones	bgi-DOM018	3.50e-07
Metals	bgi-DOM018	3.79e-06
Biocides	bgi-DOM018	1.29e-06
Fluoroquinolone	bgi-DOM019	2.83e-10
Aminoglycoside	bgi-DOM019	8.19e-09
Lipopeptide	bgi-DOM019	8.85e-11
Tetracycline derivative	bgi-DOM019	2.60e-07
Streptogramin	bgi-DOM019	6.38e-08
Macrolide	bgi-DOM019	6.42e-08
Sulfonamide	bgi-DOM019	4.52e-09
Aminocoumarin	bgi-DOM019	8.90e-11
Diaminopyrimidine	bgi-DOM019	2.85e-09
Nucleoside	bgi-DOM019	5.91e-10
Beta-lactam	bgi-DOM019	5.41e-08
Phenicol	bgi-DOM019	5.56e-09
Lincosamide	bgi-DOM019	7.38e-08
Glycopeptide	bgi-DOM019	2.37e-09
Coumarin	bgi-DOM019	1.98e-08
Rifampin	bgi-DOM019	1.39e-07
Sulfonamides	bgi-DOM019	5.06e-09
Fluoroquinolones	bgi-DOM019	2.60e-07
Metals	bgi-DOM019	3.45e-06
Biocides	bgi-DOM019	1.24e-06
Fluoroquinolone	bgi-DOM020	1.26e-09
Aminoglycoside	bgi-DOM020	8.79e-09
Lipopeptide	bgi-DOM020	4.78e-10
Tetracycline derivative	bgi-DOM020	2.89e-07
Streptogramin	bgi-DOM020	2.03e-07
Macrolide	bgi-DOM020	2.07e-07
Sulfonamide	bgi-DOM020	1.96e-09
Aminocoumarin	bgi-DOM020	2.80e-10
Rifamycin	bgi-DOM020	1.68e-10
Diaminopyrimidine	bgi-DOM020	3.26e-09
Beta-lactam	bgi-DOM020	4.70e-08
Phenicol	bgi-DOM020	1.03e-09
Lincosamide	bgi-DOM020	3.07e-07
Glycopeptide	bgi-DOM020	7.05e-11
Coumarin	bgi-DOM020	3.42e-09
Rifampin	bgi-DOM020	2.01e-07
Sulfonamides	bgi-DOM020	3.14e-08
Fluoroquinolones	bgi-DOM020	3.07e-07
Metals	bgi-DOM020	1.07e-06
Biocides	bgi-DOM020	3.81e-07
Fluoroquinolone	bgi-DOM021	9.39e-09
Aminoglycoside	bgi-DOM021	1.26e-08
Lipopeptide	bgi-DOM021	6.76e-09
Peptide	bgi-DOM021	1.05e-09
Tetracycline derivative	bgi-DOM021	2.65e-07
Streptogramin	bgi-DOM021	2.43e-07
Macrolide	bgi-DOM021	2.46e-07
Sulfonamide	bgi-DOM021	3.27e-09
Aminocoumarin	bgi-DOM021	4.11e-09
Rifamycin	bgi-DOM021	2.42e-09
Diaminopyrimidine	bgi-DOM021	5.51e-09
Nucleoside	bgi-DOM021	1.06e-10
Beta-lactam	bgi-DOM021	9.61e-08
Phenicol	bgi-DOM021	2.38e-09
Lincosamide	bgi-DOM021	2.55e-07
Coumarin	bgi-DOM021	7.89e-08
Rifampin	bgi-DOM021	2.07e-07
Sulfonamides	bgi-DOM021	5.62e-08
Fluoroquinolones	bgi-DOM021	3.74e-07
Metals	bgi-DOM021	1.63e-06
Biocides	bgi-DOM021	8.49e-07
Fluoroquinolone	bgi-DOM022	6.88e-09
Aminoglycoside	bgi-DOM022	3.56e-08
Lipopeptide	bgi-DOM022	5.08e-09
Peptide	bgi-DOM022	6.59e-10
Tetracycline derivative	bgi-DOM022	3.01e-07
Streptogramin	bgi-DOM022	1.15e-07
Macrolide	bgi-DOM022	1.20e-07
Sulfonamide	bgi-DOM022	2.61e-08
Aminocoumarin	bgi-DOM022	3.52e-09
Rifamycin	bgi-DOM022	1.02e-09
Diaminopyrimidine	bgi-DOM022	2.76e-09
Nucleoside	bgi-DOM022	1.25e-09
Beta-lactam	bgi-DOM022	1.94e-07
Phenicol	bgi-DOM022	1.75e-09
Lincosamide	bgi-DOM022	2.31e-07
Coumarin	bgi-DOM022	1.17e-08
Rifampin	bgi-DOM022	2.06e-07
Sulfonamides	bgi-DOM022	1.33e-08
Fluoroquinolones	bgi-DOM022	3.42e-07
Metals	bgi-DOM022	3.48e-06
Biocides	bgi-DOM022	1.38e-06
Fluoroquinolone	bgi-DOM023	3.03e-09
Aminoglycoside	bgi-DOM023	9.25e-09
Lipopeptide	bgi-DOM023	1.88e-09
Peptide	bgi-DOM023	3.91e-10
Tetracycline derivative	bgi-DOM023	2.22e-07
Streptogramin	bgi-DOM023	9.30e-08
Macrolide	bgi-DOM023	1.07e-07
Sulfonamide	bgi-DOM023	1.61e-08
Aminocoumarin	bgi-DOM023	1.01e-09
Rifamycin	bgi-DOM023	4.85e-10
Diaminopyrimidine	bgi-DOM023	4.60e-09
Nucleoside	bgi-DOM023	1.18e-10
Beta-lactam	bgi-DOM023	1.30e-07
Phenicol	bgi-DOM023	4.60e-09
Lincosamide	bgi-DOM023	1.12e-07
Glycopeptide	bgi-DOM023	9.16e-11
Coumarin	bgi-DOM023	4.38e-08
Rifampin	bgi-DOM023	2.60e-07
Sulfonamides	bgi-DOM023	5.09e-08
Fluoroquinolones	bgi-DOM023	4.49e-07
Metals	bgi-DOM023	1.16e-06
Biocides	bgi-DOM023	3.88e-07
Fluoroquinolone	bgi-DOM024	2.31e-09
Aminoglycoside	bgi-DOM024	5.38e-09
Lipopeptide	bgi-DOM024	1.38e-09
Peptide	bgi-DOM024	2.89e-10
Tetracycline derivative	bgi-DOM024	2.26e-07
Streptogramin	bgi-DOM024	9.85e-08
Macrolide	bgi-DOM024	9.98e-08
Sulfonamide	bgi-DOM024	5.11e-09
Aminocoumarin	bgi-DOM024	7.61e-10
Rifamycin	bgi-DOM024	3.86e-10
Diaminopyrimidine	bgi-DOM024	6.88e-09
Beta-lactam	bgi-DOM024	5.82e-08
Phenicol	bgi-DOM024	1.43e-08
Lincosamide	bgi-DOM024	1.05e-07
Glycopeptide	bgi-DOM024	4.79e-11
Coumarin	bgi-DOM024	3.05e-08
Rifampin	bgi-DOM024	1.61e-07
Sulfonamides	bgi-DOM024	2.83e-08
Fluoroquinolones	bgi-DOM024	2.68e-07
Metals	bgi-DOM024	1.08e-06
Biocides	bgi-DOM024	4.04e-07
Fluoroquinolone	bgi-DOM025	9.42e-09
Aminoglycoside	bgi-DOM025	2.53e-08
Lipopeptide	bgi-DOM025	2.34e-09
Peptide	bgi-DOM025	9.09e-10
Tetracycline derivative	bgi-DOM025	1.90e-07
Streptogramin	bgi-DOM025	7.50e-08
Macrolide	bgi-DOM025	7.76e-08
Sulfonamide	bgi-DOM025	1.18e-09
Aminocoumarin	bgi-DOM025	2.68e-09
Rifamycin	bgi-DOM025	5.10e-09
Diaminopyrimidine	bgi-DOM025	3.05e-09
Nucleoside	bgi-DOM025	6.55e-11
Beta-lactam	bgi-DOM025	5.23e-08
Phenicol	bgi-DOM025	6.24e-09
